sample_id	group
GSM6639969	PRKAR2A KO
GSM6639970	PRKAR2A KO
GSM6639971	PRKAR2A KO
GSM6639972	BAP1 KO
GSM6639973	BAP1 KO
GSM6639974	BAP1 KO
GSM6639975	Fusion
GSM6639976	Fusion
GSM6639977	Doublemutant
GSM6639978	Doublemutant
GSM6639979	Doublemutant
GSM6639980	Doublemutant_DUC
GSM6639981	Doublemutant_DUC
GSM6639982	Doublemutant_DUC
GSM6639983	WT
GSM6639984	WT
GSM6639985	WT_DUC
GSM6639986	WT_DUC
GSM6639987	BAP1 KO
GSM6639988	BAP1 KO
GSM6639989	Fusion
GSM6639990	Fusion
GSM6639991	Fusion
GSM6639992	PRKAR2A KO
GSM6639993	WT
GSM6639994	WT
GSM6639995	WT_DUC
GSM6639996	WT_DUC
GSM6639997	Doublemutant
GSM6639998	Doublemutant
GSM6639999	Doublemutant_DUC
