ensembl	symbol	direction
ENSG00000001629	ANKIB1	1
ENSG00000002822	MAD1L1	1
ENSG00000003402	CFLAR	1
ENSG00000004478	FKBP4	1
ENSG00000004779	NDUFAB1	1
ENSG00000005007	UPF1	1
ENSG00000005022	SLC25A5	1
ENSG00000005194	CIAPIN1	1
ENSG00000005206	SPPL2B	1
ENSG00000005421	PON1	1
ENSG00000005961	ITGA2B	1
ENSG00000006016	CRLF1	1
ENSG00000006118	TMEM132A	1
ENSG00000006210	CX3CL1	1
ENSG00000006282	SPATA20	1
ENSG00000006283	CACNA1G	1
ENSG00000006695	COX10	1
ENSG00000006704	GTF2IRD1	1
ENSG00000006715	VPS41	1
ENSG00000006744	ELAC2	1
ENSG00000006757	PNPLA4	1
ENSG00000007047	MARK4	1
ENSG00000007168	PAFAH1B1	1
ENSG00000007202	BLTP2	1
ENSG00000007264	MATK	1
ENSG00000007350	TKTL1	1
ENSG00000007372	PAX6	1
ENSG00000007384	RHBDF1	1
ENSG00000008283	CYB561	1
ENSG00000009954	BAZ1B	1
ENSG00000010379	SLC6A13	1
ENSG00000011028	MRC2	1
ENSG00000011295	TTC19	1
ENSG00000011405	PIK3C2A	1
ENSG00000011485	PPP5C	1
ENSG00000011566	MAP4K3	1
ENSG00000012779	ALOX5	1
ENSG00000013503	POLR3B	1
ENSG00000013561	RNF14	1
ENSG00000014216	CAPN1	1
ENSG00000014641	MDH1	1
ENSG00000014824	SLC30A9	1
ENSG00000014919	COX15	1
ENSG00000019144	PHLDB1	1
ENSG00000020129	NCDN	1
ENSG00000021488	SLC7A9	1
ENSG00000023228	NDUFS1	1
ENSG00000023318	ERP44	1
ENSG00000023734	STRAP	1
ENSG00000026559	KCNG1	1
ENSG00000028528	SNX1	1
ENSG00000030110	BAK1	1
ENSG00000032389	EIPR1	1
ENSG00000033011	ALG1	1
ENSG00000033122	LRRC7	1
ENSG00000034053	APBA2	1
ENSG00000034677	RNF19A	1
ENSG00000035141	FAM136A	1
ENSG00000036448	MYOM2	1
ENSG00000037241	RPL26L1	1
ENSG00000037757	MRI1	1
ENSG00000039068	CDH1	1
ENSG00000039123	MTREX	1
ENSG00000040608	RTN4R	1
ENSG00000041357	PSMA4	1
ENSG00000043093	DCUN1D1	1
ENSG00000043514	TRIT1	1
ENSG00000044012	GUCA2B	1
ENSG00000044090	CUL7	1
ENSG00000044574	HSPA5	1
ENSG00000047056	WDR37	1
ENSG00000047230	CTPS2	1
ENSG00000048707	VPS13D	1
ENSG00000048740	CELF2	1
ENSG00000049249	TNFRSF9	1
ENSG00000050030	NEXMIF	1
ENSG00000050767	COL23A1	1
ENSG00000050820	BCAR1	1
ENSG00000051108	HERPUD1	1
ENSG00000051523	CYBA	1
ENSG00000051825	MPHOSPH9	1
ENSG00000053108	FSTL4	1
ENSG00000053702	NRIP2	1
ENSG00000053900	ANAPC4	1
ENSG00000053918	KCNQ1	1
ENSG00000054148	PHPT1	1
ENSG00000054523	KIF1B	1
ENSG00000054598	FOXC1	1
ENSG00000054793	ATP9A	1
ENSG00000055118	KCNH2	1
ENSG00000057593	F7	1
ENSG00000057608	GDI2	1
ENSG00000058404	CAMK2B	1
